word,age_of_acquisition,frequency_per_million
song,4.26,93.6863
spend,6.44,93.2745
horse,4.15,92.8824
ring,4.53,92.7451
return,5.61,91.6863
message,6.32,91.5098
afternoon,4.65,91.4902
bob,6.15778,91.4902
tough,5.47,90.5098
quit,5.26,90.098
count,2.61,89.9608
box,4.3,89.7451
present,4.83,89.451
simple,6.89,89.3137
middle,4.69777,89.1961
calm,6.26,89.0392
surprise,5.47,88.902
dark,3.74,88.6078
land,5.22,88.1176
cute,4.26,87.7451
master,6.5,87.2549
dress,4.05,87.1961
key,3.58,86.8627
strong,4.58,86.8627
fix,5,86.7843
interesting,6.95,86.6863
strange,6.42,86.4314
rock,3.22,86.1569
voice,4.83,86.1569
cop,4.94,86.1373
window,4.74,86
bar,6.9,85.9804
short,4.32,85.6275
record,6.3,85.5882
card,6.2,85.4314
fly,3.05,85
bank,6.44,84.9804
test,6.26,84.0784
history,6.42,83.9216
born,4.68,83.6863
proud,5.44,83.6275
fish,4.05,83.4902
join,5.83,83.4314
lead,6.76,83.2549
smell,4.22,83.1373
near,5.41179,83.098
enjoy,5.75,82.7843
letter,4.74,82.6078
trip,4.22,82.3922
mark,6.47749,82.0196
store,4.76,81.9216
amazing,5.22,81.7059
star,3.89,81.3529
accident,5.3,81.2941
imagine,6.06,81.0392
list,5.58,80.5882
rich,6.32,80.3922
ice,3.86,79.549
fat,5.15,79.4314
alright,6.275,79.2941
instead,6.67997,79.2745
age,4.38,79.1961
seat,4.58,78.7843
hundred,5.47,78.7255
summer,4.33,78.6667
angel,4,78.2745
mess,4.28,78.1373
radio,5.17,77.1765
hungry,3.63,77.0784
brain,5.76,77.0196
soul,6.17,76.9608
forgive,5.44,76.8039
deep,5.47,76.3922
girlfriend,6.26,76.098
slow,4.15,76.0196
private,6.16,75.9608
during,6.7972,75.9216
attack,6.58,75.549
beer,6.11,75.4902
partner,5.85,75.2157
area,6.58,74.9216
dangerous,5.6,74.8431
third,4.58054,74.5294
upset,5.26,74.5098
bus,3.85,74.1765
group,5.94,73.7647
kick,4.06,73.4118
evil,6.71,73.1569
joke,5.2,73.0196
fell,3.28038,73
truck,3.79,72.8627
teach,4.67,72.8431
green,3.79,72.4706
ground,4.89,72.4706
cash,4.84,72.4314
forward,4.23952,72.3333
honest,5.46,72.3333
boyfriend,6.89,72.2353
park,4.47,72.1176
single,6.68,72.0784
mommy,2.5,70.9216
grab,5.37,70.8627
art,6.21,70.8039
favor,6.94,70.7647
upstairs,3.86115,70.7255
wall,3.79,70.6863
force,6,70.6667
jail,5.74,70.6275
push,4.26,70.549
normal,5.53,70.3725
machine,6.53,70.2549
protect,6.79,70.2549
field,6.1,70.1961
jump,2.84,69.8235
nose,2.95,69.7451
hide,4.47,69.6863
church,5.15,69.6667
sun,3.4,69.6667
peace,6.32,69.6078
share,4.84,69.5098
thousand,6.6,69.2941
fear,4.79,69.0784
tape,4.42,68.8431
suit,6.67,68.6078
pictures,5.11,68.1765
holy,5.55,68.1373
gas,5.32,67.7843
neither,6.74391,67.6667
nine,3.2271,67.4706
pop,4.48463,67.4706
bother,6.5,67.3725
nervous,6.79,67.1569
round,4.75,66.5294
dirty,4.55,66.451
cat,3.68,66.3333
breakfast,3.47,66.2941
idiot,6.5,66.2157
space,5.67,66.0588
carry,5.16,65.902
cry,2.78,65.6471
smoke,4,65.4314
arm,3.26,65.4118
film,6.95,65.2549
tree,3.57,65
foot,3.44,64.9216
knock,4.63,64.6863
gift,5.05,64.5098
south,6.06,64.4706
hat,3.33,64.1765
board,6.37,64.1569
sweetheart,6.26,64.1569
north,6.55,63.8824
awful,6.26,63.4118
sad,3.24,63.3725
roll,4.47,63.2745
beginning,5.4,63.1176
grand,6.68,63.0196
killer,6.48,62.8627
laugh,3.79,62.8627
upon,6.17909,62.7255
double,5.58,62.7059
twice,5.89135,62.5686
plenty,5.76347,62.3137
race,6,61.902
crap,6.5,61.7843
chicken,3.26,61.7255
bathroom,3,61.6667
spot,5.39,61.5686
weekend,4.79,61.1373
detective,6.58,61.1176
action,6.67,61.0784
sheriff,6,61.0784
glass,4.47,60.7059
type,6.58,60.6471
west,5.89,60.549
press,6.4,60.1961
difficult,5.85,60.1569
brown,4.19689,60.1176
rid,6.79,59.8431
sea,4.74,59.8431
arms,3.73864,59.8039
neck,3,59.5098
grow,4.79,59.4902
favorite,5.72,59.451
wind,3.89,59.3725
extra,6.11,59.1569
low,4.7,59.1373
angry,4.45,58.9804
bunch,4.89,58.8824
blame,6.48,58.7843
pants,3.2271,58.7451
visit,5.79,58.6863
clock,4.42,58.6275
tea,5.47,58.6275
kitchen,3.68,58.3137
lay,5.83807,58.2353
hole,5.05,58.2157
guard,6.25,58.1961
smile,3.51,58
fit,5.74,57.5882
pal,5.74,57.5882
bear,3.58,57.4118
often,6.53077,57.3529
wild,6.11,57.3137
silly,4.17,57.098
camera,6,57
begin,4.84,56.9804
reach,4.89,56.9216
beach,4.8,56.6275
heaven,4.22,56.6078
lock,5.74,56.5686
leg,3,56.5098
quickly,6.31763,56.4902
writing,4.77237,55.9216
track,6.94,55.7451
teacher,4.55,55.7255
ridiculous,7,55.6078
river,4.9,55.4706
dare,6.63,55.4118
burn,4.72,55.2157
aunt,3.8,55.1961
raise,6.72,55.1961
surprised,6.63,55.0588
cross,4.74,55.0392
cost,5.67,54.9216
queen,4.42,54.6863
fresh,6.22,54.5098
innocent,5.95,54.5098
emergency,5.94,54.4314
dancing,4.09032,54.3922
note,6.4,53.549
shop,5.78,53.549
sweetie,6.55,53.549
band,6.16,53.4118
steal,6.17,53.3333
waste,6.5,53.2549
stole,6.05121,53.1569
rose,6.11,53.0196
accept,6.74,52.7843
further,6.67997,52.7451
magic,5.52,52.6863
corner,5.21,52.5294
herself,6.90377,52.451
address,5.15,52.2745
copy,6.06,52.2745
warm,4.65,52.1373
pregnant,6.76,52.0196
hall,5.35,51.9412
treat,4.61,51.8824
everywhere,5.61427,51.7843
van,5.19864,51.7843
complete,6.58,51.6863
cup,3.57,51.6471
level,6,51.6275
taste,4.26,51.3137
camp,5.78,51.2157
beg,5.78,50.9804
tight,5.25193,50.9216
bottle,3.56,50.7451
moon,4.83,49.9608
bottom,5.28,49.9216
hero,6.47,49.8431
asleep,4.47,49.8235
final,6.58,49.6667
east,6.94,49.549
match,5.72,49.4314
apologize,5.67,49.3725
chair,3.43,49.2353
study,6.58,49.0392
rain,3.6,48.902
above,4.54857,48.8824
cousin,4.95,48.8431
cream,5.95,48.7059
excited,6.21,48.6078
memory,6.4,48.5686
breathe,4.11,48.5098
huge,4.9,48.3725
beauty,5.05,48.2353
rule,4.72,48.1373
build,4.45,48.0784
choose,4.74,48.0588
immediately,6.76522,47.9608
coach,6.89,47.6275
saturday,5.48088,47.5098
driver,4.95,47.3725
heavy,4.05,47.2941
trick,6.05,47.2745
empty,4.79,47.2353
destroy,6.7,47.1765
plus,6.37092,47.0392
apart,6.63734,47.0196
pool,5.15,46.9804
dumb,4.5,46.9608
knife,4.15,46.8039
weapon,6.95,46.6471
restaurant,5.95,46.5294
shirt,3.53,46.3725
dig,4.19,46.2157
size,4.84,46.1373
themselves,5.94464,45.9412
blind,7,45.8235
center,6.57,45.7843
bridge,5.58,45.7059
practice,6.24,45.6863
mister,6.39,45.6078
grandma,2.58,45.5882
cook,4.22,45.5686
stage,6.32,45.5686
ticket,5.32,45.5686
animal,2.89,45.4902
bird,3.52,45.451
sight,5.44,45.3137
following,6.21106,45.2941
nature,6.16,45.1569
prince,5.26,45.0784
cake,3.26,45.0588
famous,6.84,45.0196
nurse,5.84,44.9804
correct,5.37,44.9412
breath,5.81,44.9216
sky,4.17,44.8039
hearing,6.05121,44.7255
common,6.94,44.6078
tie,4.74,44.4314
bright,6.58,44.4118
allow,5.32,44.3725
belong,6.47,44.3725
escape,6.6,44.2745
skin,4.48,44.0392
fill,5.06,43.9412
desk,5.56,43.902
pack,6.55,43.8235
danger,4.61,43.6667
meat,4.42,43.6471
perfectly,6.15778,43.2549
sunday,5.44013,43.2549
whoever,6.47749,43.1961
beyond,6.31763,43.1373
student,5.94,43.0392
dry,4.11,42.8235
main,6.55,42.7255
heads,5.74215,42.6863
papa,3.05,42.5882
milk,3.37,42.5294
horrible,5.81,42.4314
feed,4.17,42.3922
battle,6.95,42.2549
ugly,4.17,42.1569
coat,3.58,42.0784
terrific,6.05,41.9216
gentleman,6.89,41.8627
lonely,5.8,41.6667
shame,6.55,41.5686
large,5.74,41.451
devil,5,41.3333
speed,5.11,41.2549
shower,4.72,41.1176
chest,5.05,40.9804
bite,3.58,40.7843
wash,4,40.7255
stone,4.44,40.6275
block,4.79,40.5294
draw,4.11,40.4118
pretend,4.56,40.3137
heat,5.33,40.0784
guest,6.21,39.9412
loud,4.53791,39.8235
itself,6.4242,39.7843
shake,5.26,39.6275
princess,3.95,39.5882
color,4,39.4314
bell,3.89,39.3333
naked,4.68,39.2549
wet,2.47,39.2157
pig,3.84,39.1373
nowhere,5.41179,39.1176
merry,5.89,39.098
cheese,4.33,39.0392
downstairs,3.91208,38.9216
soldier,6.94,38.9216
monster,4.58,38.8627
several,6.76522,38.7843
planet,6.67,38.7255
spoke,6.23237,38.6275
butt,3.73,38.5686
view,5.63,38.5294
bloody,5.83,38.4706
opening,6.28,38.4314
split,6.25,38.3137
bullet,6.7,38.2353
character,6.47,38.1569
national,6.89,38.1569
airport,6.84,38.0392
speech,6.22,38.0392
hook,6.26,38
player,6.89,37.7647
signal,6.67,37.7647
sugar,3.95,37.7647
total,6.83,37.6471
hill,3.47,37.549
football,4.84,37.5294
page,5.16,37.4902
screw,6.65,37.4902
rough,6.21,37.3922
meaning,6.1,37.3333
pair,5.94,37.2549
strength,6.21,36.9216
mail,4.65,36.8431
paint,4.45,36.8039
bedroom,3.9,36.7059
neighborhood,6.47,36.6863
finger,3.43,36.6667
spell,5.06,36.6471
ghost,5.06,36.5882
peg,6.82917,36.4118
fake,5.83,36.3333
weight,6.53,36.2745
pray,5.79,36.2157
throat,5.09,36.0196
lake,4.61,36
cab,6.94,35.8039
candy,4,35.7843
pocket,4.74,35.7059
aware,6.75,35.6471
roof,5,35.6471
babe,6.61,35.5686
responsibility,6.89,35.4118
mountain,6.15,35.3922
base,6.42,35.3725
ours,4.60185,35.3137
trade,6.42,35.1961
fan,5.63,35.1373
liar,4.89,35.1373
powerful,6.42,35.1176
language,6.79,35.098
whenever,6.37092,35.098
bless,5.33,35.0588
noise,4.5,34.8824
suck,5.58,34.8824
exciting,6.26,34.8235
criminal,6.78,34.4706
weather,5.94,34.2353
medicine,4.89,34.1961
lift,4.74,34.1373
mood,6.58,34.0392
male,5.63,33.9412
television,4.11,33.902
someday,6.31622,33.8431
stomach,5.26,33.8235
yellow,3.2,33.8039
crane,6.77588,33.6078
scare,4.22,33.5686
monkey,4.21,33.5098
pizza,4.67,33.5098
sudden,6.66931,33.4706
toast,4.67,33.4706
jacket,3.95,33.4118
lane,7,33.4118
travel,5.9,33.3725
sometime,6.53077,33.3137
magazine,5.89,33.1961
glasses,4.34609,33.1176
add,5.1,33.0588
handsome,6.5,33.0196
repeat,5.28,33.0196
prefer,6.95,32.9216
energy,6.52,32.902
crack,6.33,32.8431
chase,5.53,32.8039
vacation,5.22,32.8039
rat,5.11,32.6078
grandpa,3.06,32.5686
goodness,6.05,32.451
telephone,4.63,32.3725
safety,5.84,32.3333
tall,4.95,32.3333
tiny,5.33,32.2157
freeze,4.89,32.1569
model,5.83,32.0588
gate,5.32,32.0392
soft,3.95,32.0196
ear,3.63,32
warning,6.11,31.9608
engine,6.28,31.8824
map,5.6,31.8235
swim,4.17,31.8039
harm,5,31.7843
square,4.11,31.7647
silver,6.21,31.7451
brave,6,31.7059
female,5.89,31.6078
someplace,6.4079,31.5882
weak,5.58,31.5098
season,6.05,31.4706
rush,6.7,31.4118
snow,4.11,31.3529
spring,5.5,31.3137
spread,5.72,31.2941
winner,5.55,31.2157
leader,6.9,31.1569
tongue,4.47,31.1569
bath,3.23,31.1176
permission,6.11,31.1176
storm,4.94,30.8627
score,5.83,30.4314
shoe,2.6,30.3922
ocean,4.74,30.2941
shape,4.47,30.2353
farm,3.85,30.0392
shopping,4.69777,30
gosh,6.80785,29.902
alarm,6.39,29.8431
enter,5.67,29.7255
punch,5.75,29.6863
invite,6.79,29.5882
chocolate,3.33,29.3922
borrow,6.95,29.3137
grade,5.72,29.2745
painting,5.26,29.1961
loss,5,29.1176
woods,4.93078,29.0588
toilet,3.54,28.902
drove,6.31763,28.8627
meal,4.74,28.8627
dump,6.58,28.8235
pie,3.67,28.7451
crash,6.11,28.6471
artist,6.78,28.6275
joy,6.74,28.549
traffic,6.22,28.5098
nonsense,6.95,28.4706
pink,3.8,28.4706
wise,6.79,28.4706
midnight,6.21,28.3725
deliver,6.63,28.3529
bread,3.58,28.3333
button,4.78,28.2549
eve,5.60361,28.1765
charming,6.26,28.1176
switch,4.78,28.1176
below,5.83807,28.0392
expensive,6.33,27.9412
grandmother,3.67,27.7843
period,6.78,27.7843
dollar,5.06,27.6471
witch,4.78,27.6471
tip,5.42,27.6275
plant,3.95,27.6078
birth,5.21,27.549
bull,4.53,27.5098
wire,4.89,27.5098
rise,6.72,27.4314
towards,6.275,27.4314
boring,5.26,27.4118
section,6.78,27.3333
garage,5.26,27.2157
closet,5,27.0784
loser,6.67,27.0784
giant,4.72,27.0588
wheel,4.4,27.0588
parking,5.94,27.0392
stranger,4.53,27
tear,4.89,27
wood,4.58,27
juice,4.4,26.8824
lily,6.66931,26.8627
knight,6.26435,26.7647
awake,4.67,26.7059
kitty,3.53615,26.7059
coast,6.43,26.6863
pilot,6.32,26.6667
miracle,6.8,26.6471
cigarette,6.39,26.6078
disgusting,6.06,26.6078
mighty,5.63,26.5686
garden,5.33,26.549
fourth,4.67645,26.451
scream,4.2,26.4118
row,7,26.3333
curious,6.64,26.2157
flat,5.68,26.2157
winter,4.38,26.2157
badly,6.58406,26.1961
scary,4.26,26.1961
shoulder,4.5,26.1961
super,5.32,26.1961
sword,5.45,26.1765
chick,5.53,26.1569
smoking,6.73388,26.1569
talent,7,26.1176
garbage,4.89,26.098
attitude,6.78,26.0784
bone,5.53,26.0588
egg,3.89,26.0392
friendly,4.5,26.0392
quarter,5.79,26.0196
rooms,4.11,26
amen,5.79544,25.9804
swing,4.16,25.9804
bike,4.79,25.8824
slip,6.17,25.8824
hunt,6.06,25.8627
likely,6.33,25.7647
dirt,3.83,25.6863
plate,3.84,25.6471
cooking,5.1,25.6275
distance,6.81,25.6078
cow,3.94,25.5098
dawn,7,25.5098
sale,6.76,25.3922
audience,7,25.3725
silence,4.6,25.3725
warn,5.74,25.3529
baseball,4.83,25.2549
soup,5.37,25.1961
outfit,7,25.098
slowly,6.31763,25.0784
yard,3.94,25.0588
drew,5.41179,25.0392
robin,6.69063,24.9412
celebrate,6.21,24.8627
piano,5.5,24.8627
uniform,5.6,24.8235
doll,3.68,24.7647
duck,3.5,24.7647
location,6.86,24.7647
amount,6.63,24.7451
pen,5.11,24.7255
steps,3.67,24.6863
fail,6,24.5882
beast,5.74,24.549
path,6.11,24.549
poison,5.58,24.549
happiness,6.17,24.4902
anytime,5.89,24.4706
channel,5.79,24.4118
elevator,5.47,24.4118
